config,accuracy,precision,recall,f1,auc,mcc,balanced_accuracy
lightgbm,0.9987600862216965,0.7353801169590644,0.7064606741573034,0.7206303724928367,0.9922239392014053,0.720154804335009,0.8529419607172285
lstm,0.9978698917141967,0.9772727272727273,0.060393258426966294,0.11375661375661375,0.9610535004833781,0.24267077892833028,0.5301950359739173
decision_level_fusion,0.9978730709802949,1.0,0.060393258426966294,0.11390728476821192,0.9821355731226429,0.24548887691731744,0.5301966292134831
