config,accuracy,precision,recall,f1,auc,mcc,balanced_accuracy
lightgbm,0.9995770627004547,0.9629629629629629,0.7027027027027027,0.8125,0.9641672039769866,0.8224171779340402,0.8513337059532712
lstm,0.9995770627004547,1.0,0.6756756756756757,0.8064516129032258,0.9718946960794786,0.8218209386550485,0.8378378378378378
decision_level_fusion,0.9994889507630493,1.0,0.6081081081081081,0.7563025210084033,0.9719008958139392,0.7796134223334288,0.8040540540540541
feature_level_fusion,0.9644908892256723,0.03228915662650603,0.9054054054054054,0.062354583527221966,0.9681853472614341,0.16727019654329464,0.9349867230302012
